,Unnamed: 0,Kezelés,Helyrajzi és albetétszám,Cím,Lépcsőház,Emelet,Ajtó,Besorolási kategória,Negyed,2022szept_állapot,2023nov_állapot,Mőszaki állapot,Terület,Épületen belüli fekvés,Ü/Nü dátum,Tárgyhó KK,Mérőóra fajták,Aljogcím,Meddig,Aktuális hó bérleti / használati díj,Éves bérleti és / vagy használati díj,lat,lon
194,359,Társasház,34594/A/1,Fiumei út 7,,as./Fsz.,ÜZ/1,3,Népszínház negyed,Üres,Üres,Közepes állapotú,566.0,UCH,9/2/2020,115940.0,"áram, gáz, víz",,,0.0,0.0,47.4987558,19.0803447
196,364,Önkormányzati bérház,35685//0,Futó u. 27,,Fsz.,10.,2,Corvin negyed,Üres,Üres,Közepes állapotú,29.0,UDH (földszinti),10/19/2020,0.0,"áram, víz",,,0.0,0.0,47.4872456,19.0744979
197,370,Társasház,36114/A/1,Fővészkert u. 4,,Pi.,MU,3,Losonci negyed,Üres,Üres,Közepes állapotú,100.0,UCP,8/6/2010,47600.0,"áram, víz",,,0.0,0.0,47.48635160000001,19.0834118
199,377,Társasház,36455/A/118,Gyulai Pál u. 12,,Pi.,OV/1,2,Palotanegyed,Üres,Üres,Rossz állapotú,101.88,UDP,1/1/2000,72270.0,víz,,,0.0,0.0,47.49414729999999,19.067723
206,391,Társasház,35099/A/1,Homok u. 4-6,,Pi.,RA/1,3,Magdolna negyed,Üres,Üres,Rossz állapotú,81.0,UCP,1/1/2000,56340.0,áram,,,0.0,0.0,47.4934998,19.0802783
210,399,Önkormányzati bérház,36637//0,Horánszky u. 16,,as.,UDH 1,2,Palotanegyed,Üres,Üres,Közepes állapotú,50.0,UDH (földszinti),12/20/2011,0.0,"áram, gáz",Bérlő,határozatlan ideig,21769.0,261228.0,47.4914739,19.0679658
212,403,Társasház,35194/A/2,Horváth M. tér 16,1. lp.,Fsz.,RA/2,2,Csarnok negyed,Üres,Üres,Jó állapotú,46.0,UCH,6/30/2021,18720.0,"áram, víz",,,0.0,0.0,47.4901881,19.0750624
238,432,Társasház,38862/4/A/2,Hungária krt. 10/b,,Fsz.,UZ/2,3,Százados negyed,Kiadott,Üres,Közepes állapotú,23.0,UCH,1/15/2013,9204.0,"áram, gáz, víz",,,0.0,3151.0,47.4924225,19.1086011
242,441,Társasház,34770/A/17,II. János Pál pápa tér 10,,Te.,ÜZ/4,3,Népszínház negyed,Üres,Üres,n.a.,17.0,UDH (emeleti),12/31/2012,6678.0,,,,0.0,0.0,47.4949564,19.078058
253,461,Társasház,36098/A/1,Illés u. 16,,Fsz.,UZ/1,4,Orczy negyed,Üres,Üres,Rossz állapotú,38.0,UCH,11/9/2020,27208.0,"áram, víz",,,0.0,0.0,47.4865168,19.0855548
