,Kezelés,Helyrajzi és albetétszám,Cím,Lépcsőház,Emelet,Ajtó,Besorolási kategória,Negyed,2022szept_állapot,2023nov_állapot,Mőszaki állapot,Terület,Épületen belüli fekvés,Ü/Nü dátum,Tárgyhó KK,Mérőóra fajták,Aljogcím,Meddig,Aktuális hó bérleti / használati díj,Éves bérleti és / vagy használati díj
1206,Társasház,34601/A/30,Rákóczi út 75,,Pi.,1.,2,Népszínház negyed,Üres,Üres,Rossz állapotú,152.4,UCP,4/12/2011,55710.0,"áram, gáz, víz",,,0.0,0.0
1207,Társasház,36554/A/36,Rákóczi út 9,,Pi.,RA/1,2,Palotanegyed,Üres,Üres,Rossz állapotú,181.0,UCP,12/6/2011,55584.0,víz,,,0.0,0.0
1210,Önkormányzati bérház,35219/A/22,Rigó u. 4,,Pi.,1.,2,Csarnok negyed,Üres,Üres,Rossz állapotú,38.14,UCP,10/27/2012,0.0,"áram, víz",,,0.0,0.0
1214,Társasház,36675/A/23,Rökk Sz. u. 15,,Pi.,RA,2,Palotanegyed,Üres,Üres,Rossz állapotú,36.0,UCP,1/3/2014,15522.0,áram,,,0.0,0.0
1215,Társasház,36674/A/1,Rökk Sz. u. 17,,Pi.,UZ/1,2,Palotanegyed,Üres,Üres,Rossz állapotú,57.0,UCP,3/4/2014,56758.0,áram,,,0.0,0.0
1216,Társasház,35182/A/1,József u. 33,,Pi.,RA,3,Csarnok negyed,Üres,Üres,Közepes állapotú,121.0,UCP,1/1/2000,40460.0,,,,0.0,0.0
1217,Társasház,36674/A/3,Rökk Sz. u. 17,,as.,1.,2,Palotanegyed,Üres,Üres,Rossz állapotú,28.0,UDH (földszinti),11/28/2012,13764.0,áram,,,0.0,0.0
1218,Társasház,36739/A/4,Baross u. 28,,Fsz.,UZ/3,1,Palotanegyed,Kiadott,Üres,Közepes állapotú,174.0,UDH (földszinti),6/1/2014,40020.0,"áram, gáz, víz",,,0.0,0.0
1223,Társasház,36678/A/26,Rökk Sz. u. 9,,Fsz.,MÜ/4,2,Palotanegyed,Üres,Üres,n.a.,90.0,UCH,10/30/2018,30875.0,,,,0.0,0.0
1224,Társasház,34893/A/18,Salétrom u. 10,,Pi.,RA/1,3,Csarnok negyed,Üres,Üres,Rossz állapotú,46.0,UCP,7/31/2018,18630.0,"áram, víz",,,0.0,0.0
1225,Társasház,34894/A/24,Salétrom u. 8,,Pi.,MU/2,3,Csarnok negyed,Üres,Üres,Rossz állapotú,82.0,UCP,1/10/2011,20097.0,áram,,,0.0,0.0
1228,Önkormányzati bérház,36005//0,Sárkány u. 11,,Pi.,jobb UCP 1,4,Orczy negyed,Üres,Üres,Rossz állapotú,38.0,UCP,11/14/2013,0.0,"áram, víz",,,0.0,0.0
1229,Önkormányzati bérház,36005//0,Sárkány u. 11,,Pi.,bal UCP,4,Orczy negyed,Üres,Üres,Rossz állapotú,34.0,UCP,2/10/2014,0.0,"áram, víz",,,0.0,0.0
1231,Társasház,35989/A/1,Sárkány u. 14,,Pi.,1.,4,Orczy negyed,Üres,Üres,Közepes állapotú,57.0,UCP,2/14/2013,17820.0,víz,,,0.0,0.0
1232,Társasház,35989/A/2,Sárkány u. 14,,Pi.,2.,4,Orczy negyed,Üres,Üres,Rossz állapotú,51.0,UCP,4/15/2008,30090.0,víz,,,0.0,0.0
1233,Társasház,36476/A/18,Scheiber S. u. 3,,Fsz.,UZ/2,2,Palotanegyed,Kiadott,Üres,Közepes állapotú,31.0,UCH,5/1/2004,8077.0,"áram, víz",,,0.0,232053.0
1234,Társasház,36785/2/A/17,Mária u. 46,,as.,17.,3,Palotanegyed,Üres,Üres,Közepes állapotú,174.0,UCP,3/12/2008,17444.0,víz,,,0.0,0.0
1237,Társasház,36427/A/19,Somogyi B. u. 10,,Pi.,RA,1,Palotanegyed,Üres,Üres,Rossz állapotú,83.0,UCP,11/21/2016,37350.0,víz,,,0.0,0.0
1239,Társasház,36425/A/2,Somogyi B. u. 14,,Fsz.,ÜZ/2,1,Palotanegyed,Kiadott,Üres,Közepes állapotú,23.0,UCH,1/1/2016,7020.0,"áram kártyás, gáz, víz",,,0.0,242225.0
1243,Társasház,36462/A/1,Somogyi B. u. 7,,Fsz./Pi.,UZ/1,1,Palotanegyed,Üres,Üres,Közepes állapotú,189.0,UCH+UCP,3/16/2015,56560.0,"áram, gáz, víz",,,0.0,0.0
1244,Társasház,36467/A/28,Somogyi B. u. 19,,Fsz.,MU/2,1,Palotanegyed,Kiadott,Üres,Jó állapotú,28.0,UCH,1/1/2016,5850.0,víz,,,0.0,159523.0
1249,Társasház,36468/A/5,Somogyi B. u. 21,,Fsz.,UZ/5,1,Palotanegyed,Kiadott,Üres,Jó állapotú,41.46,UCH,1/1/2016,11816.0,,,,0.0,283149.0
1251,Társasház,36421/A/20,Somogyi B. u. 24,,VI.,RA/20,1,Palotanegyed,Üres,Üres,Rossz állapotú,149.0,UDH (emeleti),3/12/2008,53894.0,,,,0.0,0.0
1254,Társasház,36694/A/2,József krt. 43,,Fsz.,UZ/2,2,Palotanegyed,Üres,Üres,Közepes állapotú,195.1,UCH,7/13/2021,170322.0,"áram, gáz, víz",,,0.0,0.0
1255,Társasház,36438/A/42,Stáhly u. 1,,as.,MU/42,3,Palotanegyed,Üres,Üres,Rossz állapotú,69.0,UCP,2/3/2014,23278.0,áram,,,0.0,0.0
1262,Társasház,36451/A/37,Stáhly u. 5,,Fsz.,RA/1,3,Palotanegyed,Üres,Üres,Rossz állapotú,70.2,UDH (földszinti),6/20/2022,12558.0,víz,,,0.0,0.0
1263,Társasház,38839/11/F/1,"Strobl A. u. 7/d,g,h,",G. lp.,Pi.,OV,4,Százados negyed,Üres,Üres,Közepes állapotú,246.0,UCP,1/1/2000,36630.0,víz,,,0.0,0.0
1264,Társasház,38862/3/A/10,Százados út 30/a,,as.,RA/10,3,Százados negyed,Üres,Üres,Rossz állapotú,30.65,UCP,2/9/1999,8950.0,,,,0.0,0.0
1268,Önkormányzati bérház,38837/4//0,Százados út 3-13.,4. ép.,Fsz.,7/A.,3,Százados negyed,Kiadott,Üres,Közepes állapotú,61.0,UDH (földszinti),2/13/2018,0.0,,Bérlő,határozatlan ideig,11129.0,133548.0
1272,Társasház,36513/A/42,Szentkirályi u. 10,,Pi.,UZ/42,3,Palotanegyed,Kiadott,Üres,Rossz állapotú,130.0,UCP,7/16/2021,49056.0,"áram, gáz, víz",,,0.0,0.0
1273,Önkormányzati bérház,35496//0,Szigetvári u. 4,,Pi.,UDP,4,Magdolna negyed,Üres,Üres,Rossz állapotú,40.0,UDP,1/1/2000,0.0,,,,0.0,0.0
1274,Társasház,36537/A/2,Szentkirályi u. 11,,as.,UZ/2,3,Palotanegyed,Üres,Üres,Rossz állapotú,157.0,UCP,3/18/2008,40820.0,,,,0.0,0.0
1277,Társasház,36535/A/17,Szentkirályi u. 15,,Fsz.,IR,3,Palotanegyed,Üres,Üres,Rossz állapotú,252.0,UDH (földszinti),9/26/2008,52920.0,víz,,,0.0,0.0
1278,Társasház,36516/A/13,Szentkirályi u. 16,,II.,13.,3,Palotanegyed,Üres,Üres,Rossz állapotú,351.0,UDH (emeleti),11/30/2011,72700.0,áram,,,0.0,0.0
1279,Társasház,36523/A/3,Szentkirályi u. 17,,Pi.,UZ/3,3,Palotanegyed,Üres,Üres,Rossz állapotú,146.87,UDP,3/16/2011,18552.0,,,,0.0,0.0
1280,Társasház,36594/A/48,Szentkirályi u. 22-24,,Fsz.,GA/1,3,Palotanegyed,Üres,Üres,Rossz állapotú,49.0,UDH (földszinti),8/23/2019,6370.0,áram,,,0.0,0.0
1281,Társasház,36594/C/2,Szentkirályi u. 22-24,,Pi.,RA/1,3,Palotanegyed,Üres,Üres,Rossz állapotú,115.0,UDP,8/23/1990,31050.0,,,,0.0,0.0
1286,Társasház,36768/A/1,Szentkirályi u. 49,,Pi.,UZ,3,Palotanegyed,Üres,Üres,Rossz állapotú,188.47,UCP,10/5/2012,40430.0,víz,,,0.0,0.0
1287,Társasház,36780/A/6,József krt. 59-61,,I.,1.,2,Palotanegyed,Üres,Üres,Jó állapotú,249.0,UDH (emeleti),9/2/2016,57760.0,"áram, gáz, víz",,,0.0,0.0
1288,Társasház,36541/A/2,Szentkirályi u. 5,,Pi.,UZ/2,3,Palotanegyed,Üres,Üres,Rossz állapotú,70.0,UCP,3/30/2010,25410.0,,,,0.0,0.0
1289,Társasház,36489/A/1,Vas u. 14,,Pi.,UZ,3,Palotanegyed,Üres,Üres,Közepes állapotú,249.0,UCP,3/17/2015,169871.0,"áram, gáz, víz",,,0.0,0.0
1290,Társasház,35323/A/1,Szerdahelyi u. 1,,Pi.,1.,4,Magdolna negyed,Üres,Üres,Rossz állapotú,97.0,UDP,1/1/2000,69549.0,,,,0.0,0.0
1292,Társasház,35328/A/3,Szerdahelyi u. 11,,Fsz.,RA,4,Magdolna negyed,Üres,Üres,Rossz állapotú,35.0,UCH,9/25/2017,18900.0,"áram, víz",,,0.0,0.0
1293,Önkormányzati bérház,35139//0,Szerdahelyi u. 12,,Pi.,UDP,4,Magdolna negyed,Üres,Üres,Rossz állapotú,166.0,UDP,1/1/2000,0.0,,,,0.0,0.0
1294,Önkormányzati bérház,35139//0,Szerdahelyi u. 12,,Pi.,UCP,4,Magdolna negyed,Üres,Üres,Rossz állapotú,66.0,UCP,1/1/2000,0.0,,,,0.0,0.0
1296,Társasház,35137/A/1,Szerdahelyi u. 16,,Pi.,MÜ/1,4,Magdolna negyed,Üres,Üres,Rossz állapotú,78.0,UCP,1/1/2000,31125.0,,,,0.0,0.0
1297,Társasház,35137/A/2,Szerdahelyi u. 16,,Pi.,OV,4,Magdolna negyed,Üres,Üres,Rossz állapotú,124.0,UDP,1/1/2000,49883.0,,,,0.0,0.0
1298,Társasház,35137/A/4,Szerdahelyi u. 16,,Fsz.,ÜZ/2,4,Magdolna negyed,Üres,Üres,Közepes állapotú,17.0,UCH,10/30/2020,6640.0,"áram, víz",,,0.0,0.0
1299,Társasház,35137/A/11,Szerdahelyi u. 16,,Fsz.,RA/3,4,Magdolna negyed,Üres,Üres,Közepes állapotú,30.0,UDH (földszinti),3/6/2014,12118.0,"áram, víz",,,0.0,0.0
1301,Önkormányzati bérház,35136/A/2,Szerdahelyi u. 18,,Fsz.,ÜZ/2,4,Magdolna negyed,Üres,Üres,Közepes állapotú,15.0,UCH,5/5/2016,0.0,áram,,,0.0,0.0
1302,Önkormányzati bérház,35136/A/3,Szerdahelyi u. 18,,Fsz.,ÜZ/3,4,Magdolna negyed,Üres,Üres,Rossz állapotú,21.0,UCH,5/5/2016,0.0,áram,,,0.0,0.0
1303,Társasház,35144/1/A/3,Szerdahelyi u. 2/a,,Fsz.,ÜZ/3,4,Magdolna negyed,Üres,Üres,Rossz állapotú,19.0,UCH,3/9/2020,6323.0,,,,0.0,0.0
1304,Társasház,35144/1/A/4,Szerdahelyi u. 2/a,,Fsz.,ÜZ/4,4,Magdolna negyed,Üres,Üres,Rossz állapotú,19.0,UCH,3/9/2020,6992.0,,,,0.0,0.0
1305,Társasház,35144/1/A/20,Szerdahelyi u. 2/a,,Fsz.,MÜ/5,4,Magdolna negyed,Üres,Üres,Közepes állapotú,14.0,UCH,9/5/2022,4738.0,"áram, víz",,,0.0,0.0
1306,Társasház,35144/1/A/21,Szerdahelyi u. 2/a,,Fsz.,IR/6,4,Magdolna negyed,Üres,Üres,Rossz állapotú,15.0,UCH,10/29/2015,5055.0,"áram, víz",,,0.0,0.0
1311,Társasház,35920/A/22,Szeszgyár u. 5,,Fsz.,RA,4,Orczy negyed,Üres,Üres,Rossz állapotú,41.0,UCH,8/27/2009,10250.0,víz,,,0.0,0.0
1312,Társasház,35906/A/15,Szeszgyár u. 9,,Pi.,RA,4,Orczy negyed,Üres,Üres,Közepes állapotú,92.0,UCP,12/3/2008,53041.0,áram,,,0.0,0.0
1313,Társasház,35499/A/1,Szigetvári u. 1,,Pi.,1.,4,Magdolna negyed,Üres,Üres,Közepes állapotú,50.0,UCP,1/1/2000,13992.0,"áram, víz",,,0.0,0.0
1316,Társasház,35492/A/2,Szigetvári u. 10/a,,Fsz.,ÜZ/2,4,Magdolna negyed,Üres,Üres,n.a.,103.0,UCH,    -  -  ,37904.0,,,,0.0,0.0
1317,Társasház,35492/A/4,Szigetvári u. 10/a,,Fsz.,ÜZ/4,4,Magdolna negyed,Üres,Üres,Közepes állapotú,126.0,UCH,1/1/2000,46368.0,víz,,,0.0,0.0
1328,Önkormányzati bérház,36204//0,Szigony u. 39,,Fsz.,jobb UCH,3,Corvin negyed,Üres,Üres,Rossz állapotú,44.0,UCH,9/7/2007,0.0,,,,0.0,0.0
1332,Társasház,34688/A/23,Szilágyi u. 1/b,,Pi.,1.,4,Népszínház negyed,Kiadott,Üres,Rossz állapotú,140.0,UCP,6/5/2018,351680.0,víz,,,0.0,347031.0
1334,Társasház,34693/A/1,Szilágyi u. 4,,Pi.,1.,4,Népszínház negyed,Üres,Üres,Közepes állapotú,86.0,UCP,1/13/2009,40592.0,víz,,,0.0,0.0
1335,Társasház,34693/A/2,Szilágyi u. 4,,Pi.,2.,4,Népszínház negyed,Üres,Üres,Közepes állapotú,128.0,UCP,5/16/2001,60416.0,víz,,,0.0,0.0
1342,Társasház,35256/A/39,Szőz u. 5-7,,Pi.,RA/39,3,Csarnok negyed,Üres,Üres,Rossz állapotú,125.0,UCP,7/5/2007,58750.0,"áram, víz",,,0.0,0.0
1343,Társasház,35255/A/1,Szőz u. 9,,Pi.,MÜ/1,3,Csarnok negyed,Üres,Üres,Rossz állapotú,102.0,UCP,7/8/2008,34782.0,"áram, víz",,,0.0,0.0
1344,Társasház,35170/A/1,Tavaszmező u. 10,,Pi.,UZ/1,2,Csarnok negyed,Üres,Üres,Rossz állapotú,182.0,UCP,7/8/2008,82731.0,"gáz, víz",,,0.0,0.0
1345,Társasház,35277/A/1,Tavaszmező u. 19-21,,Pi.,RA/1,2,Magdolna negyed,Üres,Üres,Rossz állapotú,99.0,UCP,1/1/2000,30690.0,,,,0.0,0.0
1347,Társasház,35277/A/9,Tavaszmező u. 19-21,,Fsz.,IR/8,2,Magdolna negyed,Üres,Üres,Rossz állapotú,13.0,UCH,7/24/2015,4030.0,"áram, víz",,,0.0,0.0
1355,Társasház,34734/A/24,Teleki tér 16,,Fsz.,UZ/1,3,Népszínház negyed,Kiadott,Üres,Jó állapotú,16.0,UCH,5/18/2015,7700.0,"áram, víz",,,0.0,0.0
1356,Társasház,34734/A/26,Teleki tér 16,,Fsz.,UZ/3,3,Népszínház negyed,Üres,Üres,Rossz állapotú,96.0,UCH,12/1/2016,46530.0,"áram, gáz, víz",,,0.0,0.0
1357,Társasház,34734/A/27,Teleki tér 16,,Pi.,UZ/4,3,Népszínház negyed,Üres,Üres,Rossz állapotú,43.0,UCP,12/1/2016,8195.0,,,,0.0,0.0
1359,Társasház,34739/A/32,Teleki tér 22,,Pi.,RA/1,3,Népszínház negyed,Kiadott,Üres,Rossz állapotú,103.0,UCP,4/20/2015,26409.0,"áram, víz",,,0.0,0.0
1360,Társasház,34740/A/25,Teleki tér 23,,Fsz.,UZ,3,Népszínház negyed,Kiadott,Üres,Jó állapotú,29.0,UCH,5/9/2016,8816.0,"áram, gáz, víz",,,0.0,0.0
1362,Társasház,34740/A/27,Teleki tér 23,,Pi.,RA,3,Népszínház negyed,Üres,Üres,Rossz állapotú,55.0,UDP,1/1/2000,6764.0,,,,0.0,0.0
1364,Társasház,35133/A/114,Teleki tér 3,,Pi.,UZ/4,3,Magdolna negyed,Üres,Üres,Közepes állapotú,155.0,UCP,11/6/2006,14930.0,,,,0.0,0.0
1369,Társasház,35135/A/1,Teleki tér 5,,Fsz.,RA/1,3,Magdolna negyed,Üres,Üres,Rossz állapotú,79.0,UCH,7/1/2021,19118.0,áram,,,0.0,0.0
1372,Társasház,35346/A/45,Teleki tér 6,,Pi.,45.,3,Magdolna negyed,Üres,Üres,Rossz állapotú,79.0,UDP,1/1/2000,10744.0,víz,,,0.0,0.0
1375,Társasház,35361/A/39,Teleki tér 7,,Fsz.,UZ/39,3,Magdolna negyed,Kiadott,Üres,Jó állapotú,60.0,UCH,11/1/2005,12597.0,"áram, gáz, víz",,,0.0,968472.0
1376,Önkormányzati bérház,34933//0,Tolnai L. u. 21,,as.,1.,3,Csarnok negyed,Üres,Üres,Rossz állapotú,23.0,UDH (földszinti),1/1/1990,0.0,,,,0.0,0.0
1377,Önkormányzati bérház,34933//0,Tolnai L. u. 21,,as.,2.,3,Csarnok negyed,Üres,Üres,Rossz állapotú,18.0,UDH (földszinti),5/7/1996,0.0,,,,0.0,0.0
1378,Önkormányzati bérház,34933//0,Tolnai L. u. 21,,Pi.,UCP,3,Csarnok negyed,Üres,Üres,Rossz állapotú,94.0,UCP,4/14/1994,0.0,,,,0.0,0.0
1379,Társasház,34937/A/25,Tolnai L. u. 29,,Fsz.,ÜZ/1,3,Csarnok negyed,Kiadott,Üres,Rossz állapotú,34.0,UCH,4/26/2013,17776.0,áram,,,0.0,0.0
1380,Társasház,34937/A/26,Tolnai L. u. 29,,Fsz.,ÜZ/2,3,Csarnok negyed,Kiadott,Üres,Közepes állapotú,23.0,UCH,2/22/2022,11880.0,"áram, víz",,,0.0,357845.0
1381,Önkormányzati bérház,34951//0,Tolnai L. u. 37,,Pi.,UDP,3,Csarnok negyed,Üres,Üres,Rossz állapotú,67.0,UDP,1/1/2000,0.0,,,,0.0,0.0
1382,Önkormányzati bérház,34951//0,Tolnai L. u. 37,,Pi.,UCP,3,Csarnok negyed,Üres,Üres,Rossz állapotú,36.0,UCP,1/1/2000,0.0,,,,0.0,0.0
1385,Társasház,34970/A/1,Tolnai L. u. 44,,Pi.,1.,3,Csarnok negyed,Üres,Üres,Rossz állapotú,110.0,UCP,9/27/2021,50481.0,"áram, gáz, víz",,,0.0,0.0
1391,Társasház,36139/1/A/1,Tömő u. 32-38,,Fsz.,UZ/1,3,Losonci negyed,Üres,Üres,Közepes állapotú,30.0,UCH,4/3/2017,7854.0,"áram, hőmennyiség",,,0.0,0.0
1393,Társasház,36170/B/25,Tömő u. 33/b,,Pi.,RA,3,Losonci negyed,Üres,Üres,Rossz állapotú,85.0,UCP,1/1/2000,43452.0,,,,0.0,0.0
1394,Társasház,36139/4/A/2,Tömő u. 40-46,,Fsz.,UZ/2,3,Losonci negyed,Üres,Üres,Rossz állapotú,207.01,UCH,1/1/1994,30791.0,"hőmennyiség, víz",,,0.0,0.0
1395,Önkormányzati bérház,36268//0,Tömő u. 5,,Pi.,UCP,3,Corvin negyed,Üres,Üres,Rossz állapotú,141.0,UCP,7/13/1987,0.0,,,,0.0,0.0
1396,Önkormányzati bérház,36109//0,Tömő u. 56,,Fsz.,UCH,3,Losonci negyed,Üres,Üres,Rossz állapotú,9.0,UCH,10/18/2017,0.0,áram,,,0.0,0.0
1397,Önkormányzati bérház,36109//0,Tömő u. 56,,Pi.,UCP,3,Losonci negyed,Üres,Üres,Rossz állapotú,38.0,UCP,10/6/2005,0.0,,,,0.0,0.0
1398,Önkormányzati bérház,36107//0,Tömő u. 60,,Pi.,UCP,3,Losonci negyed,Üres,Üres,Rossz állapotú,44.0,UCP,4/2/2001,0.0,,,,0.0,0.0
1399,Társasház,36106/A/28,Tömő u. 62,,Pi.,RA,3,Losonci negyed,Üres,Üres,Rossz állapotú,120.0,UCP,1/1/2000,20979.0,,,,0.0,0.0
1407,Társasház,36476/A/19,Scheiber S. u. 3,,Pi./Fsz.,UZ/3,2,Palotanegyed,Üres,Üres,Közepes állapotú,349.0,UCH,6/24/2015,54483.0,"gáz, víz",,,0.0,0.0
1408,Társasház,36670/A/40,Krúdy u. 16-18,,Pi.,UZ/40,1,Palotanegyed,Üres,Üres,Közepes állapotú,401.0,UCP,2/7/2012,113270.0,"áram, gáz, víz",,,0.0,0.0
1409,Társasház,36764/A/3,Üllői út 18,,Fsz.,UZ/3,1,Palotanegyed,Üres,Üres,Közepes állapotú,28.0,UCH,1/15/2021,7588.0,,,,0.0,0.0
1411,Társasház,36765/A/1,Üllői út 20,,Pi.,OV,1,Palotanegyed,Üres,Üres,Rossz állapotú,148.0,UCP,1/30/2014,77130.0,áram,,,0.0,0.0
1413,Társasház,36798/A/51,Üllői út 34,,Fsz.,VE,1,Palotanegyed,Üres,Üres,Rossz állapotú,190.0,UCH,3/7/2013,57000.0,"áram, gáz, víz",,,0.0,0.0
1419,Társasház,36402/4/D/4,Üllői út 38-44 (44),44. lp.,Fsz.,ÜZ/3,1,Corvin negyed,Kiadott,Üres,Jó állapotú,46.0,UCH,4/12/2016,17562.0,áram,,,0.0,1360978.0
1421,Társasház,36388/A/33,Üllői út 46,,Pi.,MU,1,Corvin negyed,Üres,Üres,Rossz állapotú,78.0,UCP,1/29/2015,25359.0,"áram, víz",,,0.0,0.0
1422,Társasház,36371/A/16,Üllői út 50,,Fsz.,UZ,1,Corvin negyed,Üres,Üres,Rossz állapotú,75.0,UCH,1/23/2018,44175.0,"áram, víz",,,0.0,0.0
1424,Társasház,36339/A/5,Üllői út 54-56,A. ép.,Fsz.,ÜZ/5,1,Corvin negyed,Üres,Üres,Közepes állapotú,91.0,UCH,6/28/2022,22678.0,víz,,,0.0,0.0
1427,Önkormányzati bérház,36338//0,Üllői út 58,,Pi.,UCP 3,1,Corvin negyed,Üres,Üres,Rossz állapotú,40.0,UCP,1/15/1996,0.0,víz,Bérlő,feltétel bekövetkeztéig,0.0,0.0
1428,Önkormányzati bérház,36338//0,Üllői út 58,,Pi.,UCP 1,1,Corvin negyed,Üres,Üres,Rossz állapotú,147.0,UCP,11/13/2012,0.0,víz,Bérlő,feltétel bekövetkeztéig,0.0,0.0
1430,Társasház,36308/A/4,Üllői út 60-62,,Fsz.,ÜZ/4,1,Corvin negyed,Üres,Üres,Rossz állapotú,150.9,UCH,7/3/2013,41641.0,"áram, víz",,,0.0,0.0
1432,Társasház,36307/A/30,Üllői út 64,,Pi.,MU,1,Corvin negyed,Üres,Üres,Rossz állapotú,166.0,UCP,11/2/2009,40222.0,"áram, gáz",,,0.0,0.0
1435,Társasház,36274/A/4,Üllői út 66/a,,Fsz.,ÜZ/4,1,Corvin negyed,Üres,Üres,Közepes állapotú,29.0,UCH,6/27/2022,6480.0,"áram, víz",,,0.0,0.0
1436,Társasház,36274/A/5,Üllői út 66/a,,Fsz.,ÜZ/5,1,Corvin negyed,Kiadott,Üres,Közepes állapotú,83.0,UCH,5/19/2014,18360.0,"áram, gáz, víz",,,0.0,0.0
1438,Társasház,36273/A/51,Üllői út 66/b,2. lp.,Pi.,UZ/5,1,Corvin negyed,Üres,Üres,Rossz állapotú,31.0,UDP,1/1/2000,12710.0,,,,0.0,0.0
1440,Társasház,36264/A/28,Üllői út 68,,Pi./Fsz.,UZ/2,1,Corvin negyed,Üres,Üres,Jó állapotú,199.0,UCH,1/21/2022,75620.0,"áram, gáz, víz",,,0.0,0.0
1441,Társasház,36264/A/29,Üllői út 68,,Pi.,1.,1,Corvin negyed,Üres,Üres,Rossz állapotú,63.0,UCP,8/26/2008,19530.0,víz,,,0.0,0.0
1442,Társasház,36263/A/1,Üllői út 70,,Pi.,OV,1,Corvin negyed,Üres,Üres,Rossz állapotú,95.0,UDP,10/8/2005,31350.0,víz,,,0.0,0.0
1444,Társasház,38793/7/A/139,Vajda P. u. 7-13,7. lp.,Fsz.,IR/139,3,Tisztviselőtelep,Üres,Üres,Közepes állapotú,66.0,UCH,8/2/2021,23364.0,"áram, víz",,,0.0,0.0
1447,Társasház,38793/7/A/142,Vajda P. u. 7-13,9. lp.,Fsz.,UZ/142,3,Tisztviselőtelep,Kiadott,Üres,Közepes állapotú,29.0,UCH,7/14/2021,11055.0,"áram, víz",,,0.0,894069.0
1449,Önkormányzati bérház,35599//0,Vajdahunyad u. 11,,Pi.,UCP,3,Corvin negyed,Üres,Üres,Rossz állapotú,46.0,UCP,1/1/2000,0.0,víz,,,0.0,0.0
1453,Társasház,35596/A/3,Vajdahunyad u. 17,,as.,3.,3,Corvin negyed,Üres,Üres,Rossz állapotú,9.0,UCP,4/26/2013,2745.0,,,,0.0,0.0
1454,Önkormányzati bérház,35677//0,Vajdahunyad u. 24,,Pi.,UCP,3,Corvin negyed,Üres,Üres,Rossz állapotú,40.0,UCP,5/12/2014,0.0,,,,0.0,0.0
1455,Önkormányzati bérház,35587//0,Vajdahunyad u. 8,,Fsz.,UDH,3,Corvin negyed,Üres,Üres,Rossz állapotú,20.0,UDH (földszinti),8/28/2008,0.0,,,,0.0,0.0
1456,Társasház,36442/A/1,Vas u. 12,,Pi.,RA/1,3,Palotanegyed,Üres,Üres,Közepes állapotú,54.0,UCP,1/1/2000,14310.0,,,,0.0,0.0
1457,Társasház,36511/A/1,Szentkirályi u. 6,,Pi.,UZ/1,3,Palotanegyed,Üres,Üres,Közepes állapotú,555.0,UCP,6/30/2005,136530.0,víz,,,0.0,0.0
1458,Társasház,34930/A/33,Víg u. 18,,Pi./Fsz.,RA/33,3,Csarnok negyed,Üres,Üres,Rossz állapotú,136.0,UCH+UCP,12/9/2020,51084.0,"áram, gáz",,,0.0,186813.0
1459,Társasház,36505/A/1,Vas u. 3,,Pi.,UZ/1,3,Palotanegyed,Üres,Üres,Rossz állapotú,195.1,UCP,3/8/2011,120800.0,,,,0.0,0.0
1460,Társasház,36504/A/21,Vas u. 5,,as.,UZ/2,3,Palotanegyed,Üres,Üres,Rossz állapotú,50.0,UCP,1/6/2022,17450.0,áram,,,0.0,0.0
1461,Társasház,36504/A/23,Vas u. 5,,as.,UZ/4,3,Palotanegyed,Üres,Üres,Rossz állapotú,62.0,UCP,1/6/2022,18600.0,"áram, gáz, víz",,,0.0,0.0
1462,Társasház,36764/A/1,Üllői út 18,,Pi./Fsz.,UZ/1,1,Palotanegyed,Üres,Üres,Közepes állapotú,756.0,UCH+UDP,1/15/2021,100157.0,"áram, gáz, víz",,,0.0,0.0
1463,Társasház,34872/A/41,Vásár u. 2,,Pi.,2.,3,Csarnok negyed,Üres,Üres,Rossz állapotú,68.0,UCP,11/6/2008,24168.0,,,,0.0,0.0
1464,Társasház,34872/A/42,Vásár u. 2,,Pi.,OV,3,Csarnok negyed,Üres,Üres,Rossz állapotú,72.0,UCP,11/6/2008,25546.0,víz,,,0.0,0.0
1465,Társasház,34875/A/24,Vásár u. 4,,Pi.,1.,3,Csarnok negyed,Üres,Üres,Rossz állapotú,39.0,UDP,1/1/2000,11700.0,gáz,,,0.0,0.0
1467,Önkormányzati bérház,34762//0,Vay Á. u. 6,,Pi.,UCP,4,Népszínház negyed,Üres,Üres,Rossz állapotú,33.0,UCP,11/10/2009,0.0,áram,,,0.0,0.0
1469,Társasház,34827/A/1,Víg u. 15,,Pi.,1.,3,Csarnok negyed,Üres,Üres,Közepes állapotú,123.0,UCP,2/3/2011,82419.0,"áram, gáz, víz",,,0.0,0.0
1472,Társasház,34929/2/A/6,Víg u. 20,,Fsz.,ÜZ/2,3,Csarnok negyed,Kiadott,Üres,Rossz állapotú,30.0,UCH,3/19/2019,10500.0,"áram, gáz, víz",,,43222.0,677911.0
1474,Társasház,34929/1/A/8,Víg u. 22,,Fsz.,ÜZ/5,3,Csarnok negyed,Üres,Üres,Rossz állapotú,45.0,UDH (földszinti),9/11/2018,11700.0,áram,,,0.0,0.0
1475,Társasház,34929/1/A/9,Víg u. 22,,Fsz.,ÜZ/6,3,Csarnok negyed,Üres,Üres,Rossz állapotú,291.0,UDH (földszinti),9/11/2018,75650.0,víz,,,0.0,0.0
1476,Társasház,34929/1/A/14,Víg u. 22,,I.,5.,3,Csarnok negyed,Üres,Üres,Rossz állapotú,370.0,UDH (emeleti),9/11/2018,96200.0,,,,0.0,0.0
