,Kezelés,Helyrajzi és albetétszám,Cím,Lépcsőház,Emelet,Ajtó,Besorolási kategória,Negyed,2022szept_állapot,2023nov_állapot,Mőszaki állapot,Terület,Épületen belüli fekvés,Ü/Nü dátum,Tárgyhó KK,Mérőóra fajták,Aljogcím,Meddig,Aktuális hó bérleti / használati díj,Éves bérleti és / vagy használati díj
955,Önkormányzati bérház,35082//0,Nagy Fuvaros u. 26,,Fsz.,5.,2,Magdolna negyed,Üres,Üres,Közepes állapotú,23.0,UDH (földszinti),11/26/2009,0.0,,,,0.0,0.0
960,Társasház,35031/A/31,Nagy Fuvaros u. 3/b,,Fsz.,UZ/31,2,Csarnok negyed,Kiadott,Üres,Rossz állapotú,14.0,UDH (földszinti),1/1/2014,7798.0,áram,,,0.0,0.0
962,Társasház,35059/A/1,Nagy Fuvaros u. 6,,Fsz.,ÜZ,2,Magdolna negyed,Üres,Üres,Rossz állapotú,72.0,UCH,6/3/2011,46057.0,,,,0.0,0.0
966,Önkormányzati bérház,35698//0,Nagytemplom u. 5,,Pi.,UCP,3,Corvin negyed,Üres,Üres,Rossz állapotú,51.0,UCP,3/6/1998,0.0,,,,0.0,0.0
968,Társasház,35619/A/19,Nap u. 18,,Pi.,MU,3,Corvin negyed,Üres,Üres,Közepes állapotú,129.0,UCP,11/11/2008,32825.0,víz,,,0.0,0.0
969,Társasház,35674/A/19,Nap u. 19,,Pi.,RA/19,3,Corvin negyed,Üres,Üres,Közepes állapotú,81.0,UCP,10/7/2008,17010.0,víz,,,0.0,0.0
970,Társasház,35674/A/20,Nap u. 19,,Pi.,MU/20,3,Corvin negyed,Üres,Üres,Közepes állapotú,61.0,UCP,4/29/2022,20130.0,"áram, gáz",,,0.0,0.0
972,Önkormányzati bérház,35676//0,Nap u. 21,,Pi.,UCP 2,3,Corvin negyed,Üres,Üres,Rossz állapotú,47.0,UCP,6/24/1996,0.0,,Bérlő,határozatlan ideig,61973.0,743678.0
973,Önkormányzati bérház,35676//0,Nap u. 21,,Fsz.,7.,3,Corvin negyed,Üres,Üres,Rossz állapotú,41.0,UCH,3/1/2001,0.0,"áram, víz",Bérlő,határozatlan ideig,61973.0,743678.0
975,Társasház,35595/A/1,Nap u. 24,,Pi.,1.,3,Corvin negyed,Üres,Üres,Rossz állapotú,23.0,UCP,8/4/2020,6900.0,áram,,,0.0,0.0
976,Társasház,35595/A/2,Nap u. 24,,Pi.,2.,3,Corvin negyed,Üres,Üres,Rossz állapotú,27.0,UCP,8/4/2020,8100.0,"gáz, víz",,,0.0,0.0
979,Társasház,35655/A/1,Nap u. 9,,Pi.,1.,3,Corvin negyed,Üres,Üres,Közepes állapotú,78.0,UCP,1/1/2000,19266.0,,,,0.0,0.0
980,Társasház,35655/A/2,Nap u. 9,,Pi.,2.,3,Corvin negyed,Üres,Üres,Közepes állapotú,61.0,UCP,1/1/2000,23912.0,víz,,,0.0,0.0
983,Önkormányzati bérház,36292//0,Nagytemplom u. 12/B,,Pi.,UCP,3,Corvin negyed,Üres,Üres,Rossz állapotú,296.0,UCP,6/30/2022,0.0,"áram, víz",,,0.0,0.0
984,Társasház,34903/A/65,Német u. 13,,Fsz.,ÜZ/3,2,Csarnok negyed,Kiadott,Üres,Rossz állapotú,25.0,UCH,8/18/2021,6555.0,"áram, víz",,,0.0,-171375.0
996,Társasház,35212/A/23,Német u. 25,,Pi.,RA/1,2,Csarnok negyed,Üres,Üres,Közepes állapotú,133.0,UCP,10/18/1994,16224.0,,,,0.0,0.0
1005,Társasház,34912/A/1,Német u. 8,,Pi.,1.,2,Csarnok negyed,Üres,Üres,Rossz állapotú,97.0,UCP,1/1/2000,90300.0,,,,0.0,0.0
1010,Társasház,34820/A/5,Népszínház u. 17,,Pi.,UZ/5,3,Csarnok negyed,Üres,Üres,Rossz állapotú,315.39,UCP,3/23/2010,82214.0,víz,,,0.0,0.0
1013,Társasház,34818/A/70,Népszínház u. 19,,Pi.,UZ/9,3,Csarnok negyed,Üres,Üres,Rossz állapotú,199.0,UCP,10/26/2011,58705.0,víz,,,0.0,0.0
1014,Társasház,34818/A/71,Népszínház u. 19,,Pi.,RA/10,3,Csarnok negyed,Üres,Üres,Rossz állapotú,3.0,UDP,1/1/2000,885.0,,,,0.0,0.0
1015,Társasház,34818/A/73,Népszínház u. 19,,Fe.,WC/12,3,Csarnok negyed,Üres,Üres,Rossz állapotú,3.0,UDH (emeleti),2/16/2006,885.0,,Bérlő,határozatlan ideig,0.0,0.0
1016,Társasház,34818/A/75,Népszínház u. 19,,II.,TA/14,3,Csarnok negyed,Üres,Üres,Rossz állapotú,3.0,UDH (emeleti),2/16/2006,885.0,,Bérlő,határozatlan ideig,0.0,0.0
